GeoFips,GeoName,2020-2023
1001,"Autauga, AL",5.6
1003,"Baldwin, AL",6.2
1005,"Barbour, AL",3.9
1007,"Bibb, AL",4.6
1009,"Blount, AL",6.0
1011,"Bullock, AL",5.5
1013,"Butler, AL",7.6
1015,"Calhoun, AL",4.2
1017,"Chambers, AL",4.2
1019,"Cherokee, AL",4.2
1021,"Chilton, AL",6.4
1023,"Choctaw, AL",6.8
1025,"Clarke, AL",4.8
1027,"Clay, AL",3.8
1029,"Cleburne, AL",5.4
1031,"Coffee, AL",5.9
1033,"Colbert, AL",5.3
1035,"Conecuh, AL",5.1
1037,"Coosa, AL",4.2
1039,"Covington, AL",4.4
1041,"Crenshaw, AL",6.2
1043,"Cullman, AL",7.0
1045,"Dale, AL",4.6
1047,"Dallas, AL",5.1
1049,"DeKalb, AL",6.1
1051,"Elmore, AL",5.3
1053,"Escambia, AL",5.2
1055,"Etowah, AL",4.5
1057,"Fayette, AL",3.5
1059,"Franklin, AL",5.0
1061,"Geneva, AL",4.5
1063,"Greene, AL",2.8
1065,"Hale, AL",3.8
1067,"Henry, AL",4.6
1069,"Houston, AL",4.8
1071,"Jackson, AL",5.2
1073,"Jefferson, AL",7.1
1075,"Lamar, AL",4.1
1077,"Lauderdale, AL",3.9
1079,"Lawrence, AL",5.6
1081,"Lee, AL",5.7
1083,"Limestone, AL",6.5
1085,"Lowndes, AL",6.4
1087,"Macon, AL",5.8
1089,"Madison, AL",5.6
1091,"Marengo, AL",4.7
1093,"Marion, AL",6.8
1095,"Marshall, AL",5.7
1097,"Mobile, AL",5.9
1099,"Monroe, AL",4.1
1101,"Montgomery, AL",5.4
1103,"Morgan, AL",4.7
1105,"Perry, AL",4.7
1107,"Pickens, AL",2.8
1109,"Pike, AL",6.4
1111,"Randolph, AL",5.0
1113,"Russell, AL",4.8
1115,"St. Clair, AL",5.4
1117,"Shelby, AL",6.1
1119,"Sumter, AL",4.8
1121,"Talladega, AL",4.6
1123,"Tallapoosa, AL",5.3
1125,"Tuscaloosa, AL",4.0
1127,"Walker, AL",6.4
1129,"Washington, AL",4.7
1131,"Wilcox, AL",5.3
1133,"Winston, AL",4.4
2010,"Aleutian Islands Census Area, AK*",(NA)
2013,"Aleutians East Borough, AK*",4.8
2016,"Aleutians West Census Area, AK*",4.9
2020,"Anchorage Municipality, AK",5.3
2050,"Bethel Census Area, AK*",2.3
2060,"Bristol Bay Borough, AK",6.4
2063,"Chugach Census Area, AK*",7.1
2066,"Copper River Census Area, AK*",6.1
2068,"Denali Borough, AK*",12.9
2070,"Dillingham Census Area, AK*",4.6
2090,"Fairbanks North Star Borough, AK",5.0
2100,"Haines Borough, AK*",6.3
2105,"Hoonah-Angoon Census Area, AK*",9.8
2110,"Juneau City and Borough, AK",5.2
2122,"Kenai Peninsula Borough, AK*",3.6
2130,"Ketchikan Gateway Borough, AK*",5.0
2150,"Kodiak Island Borough, AK",5.4
2158,"Kusilvak Census Area, AK*",4.3
2164,"Lake and Peninsula Borough, AK*",8.9
2170,"Matanuska-Susitna Borough, AK",5.0
2180,"Nome Census Area, AK",5.7
2185,"North Slope Borough, AK*",4.0
2188,"Northwest Arctic Borough, AK",5.5
2195,"Petersburg Borough, AK*",4.5
2198,"Prince of Wales-Hyder Census Area, AK*",2.3
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA)
2220,"Sitka City and Borough, AK*",7.9
2230,"Skagway Municipality, AK*",12.5
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
2240,"Southeast Fairbanks Census Area, AK*",5.7
2261,"Valdez-Cordova Census Area, AK*",(NA)
2275,"Wrangell City and Borough, AK*",5.3
2280,"Wrangell-Petersburg Census Area, AK*",(NA)
2282,"Yakutat City and Borough, AK*",3.4
2290,"Yukon-Koyukuk Census Area, AK*",6.4
2901,"Aleutian Islands Division, AK*",(NA)
2903,"Angoon Division, AK*",(NA)
2904,"Barrow-North Slope Division, AK*",(NA)
2905,"Bethel Division, AK*",(NA)
2907,"Bristol Bay Division, AK*",(NA)
2908,"Cordova-McCarthy Division, AK*",(NA)
2910,"Haines Division, AK*",(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA)
2916,"Kuskokwim Division, AK*",(NA)
2919,"Outer Ketchikan Division, AK*",(NA)
2920,"Prince of Wales Division, AK*",(NA)
2921,"Seward Division, AK*",(NA)
2922,"Sitka Division, AK*",(NA)
2923,"Skagway-Yakutat Division, AK*",(NA)
2924,"Southeast Fairbanks Division, AK*",(NA)
2925,"Upper Yukon Division, AK*",(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA)
4001,"Apache, AZ",4.4
4003,"Cochise, AZ",4.4
4005,"Coconino, AZ",5.5
4007,"Gila, AZ",5.6
4009,"Graham, AZ",6.0
4011,"Greenlee, AZ",9.9
4012,"La Paz, AZ*",8.2
4013,"Maricopa, AZ",6.7
4015,"Mohave, AZ",6.2
4017,"Navajo, AZ",5.0
4019,"Pima, AZ",5.5
4021,"Pinal, AZ",6.7
4023,"Santa Cruz, AZ",4.6
4025,"Yavapai, AZ",6.0
4027,"Yuma, AZ*",3.4
5001,"Arkansas, AR",7.2
5003,"Ashley, AR",5.4
5005,"Baxter, AR",4.4
5007,"Benton, AR",14.0
5009,"Boone, AR",4.8
5011,"Bradley, AR",3.9
5013,"Calhoun, AR",4.8
5015,"Carroll, AR",6.0
5017,"Chicot, AR",4.0
5019,"Clark, AR",2.2
5021,"Clay, AR",5.4
